Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791332940.372	,9.240,0,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,8.202,14763,0.639,0.078,4.321,0.527,0.471,0.057,2.442,0.298,1.294,0.158,0.059,8.754,15757,0.038,0.004,3.095,0.354,0.494,0.056,0.391,0.045,0.18,4.438
0,4294967295,1,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791332983.052	,8.420,33.510000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,7.22,12996,0.639,0.088,4.059,0.562,0.471,0.065,1.832,0.254,1.19,0.165,0.059,7.907,14233,0.038,0.005,2.952,0.373,0.527,0.067,0.526,0.066,0.19,4.287
0,4294967295,2,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791333013.612	,8.040,22.080000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,7.173,12912,0.639,0.089,3.834,0.534,0.471,0.066,1.649,0.23,1.344,0.187,0.059,7.513,13523,0.038,0.005,1.712,0.228,0.158,0.021,0.153,0.02,0.147,4.461
0,4294967295,4,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791333094.752	,8.620,73.210000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,7.361,13250,0.639,0.087,4.133,0.562,0.471,0.064,1.717,0.233,1.254,0.17,0.059,8.083,14549,0.038,0.005,3.001,0.371,0.549,0.068,0.538,0.067,0.167,4.270
0,4294967295,5,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791333127.696	,8.140,24.380000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,7.278,13100,0.639,0.088,3.914,0.538,0.471,0.065,1.624,0.223,1.235,0.17,0.059,7.6,13680,0.038,0.005,1.717,0.226,0.169,0.022,0.151,0.02,0.155,4.470
0,4294967295,7,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791333175.496	,7.960,39.610000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,6.825,12285,0.639,0.094,3.741,0.548,0.471,0.069,1.648,0.241,1.202,0.176,0.058,7.489,13480,0.038,0.005,3.211,0.429,0.505,0.067,0.492,0.066,0.167,4.287
0,4294967295,8,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791333200.116	,7.760,16.540000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,6.961,12529,0.639,0.092,3.84,0.552,0.471,0.068,1.635,0.235,1.237,0.178,0.059,7.294,13129,0.038,0.005,1.704,0.234,0.149,0.02,0.132,0.018,0.161,4.485
0,4294967295,10,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791333253.816	,8.360,45.990000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,7.201,12961,0.639,0.089,3.793,0.527,0.471,0.065,1.687,0.234,1.258,0.175,0.059,7.876,14177,0.038,0.005,2.951,0.375,0.508,0.064,0.497,0.063,0.167,4.307
0,4294967295,11,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791333277.856	,5.740,15.640000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,4.906,8831,0.639,0.13,2.444,0.498,0.471,0.096,1.662,0.339,0.904,0.184,0.059,5.237,9426,0.038,0.007,1.759,0.336,0.158,0.03,0.147,0.028,0.167,4.274
0,4294967295,12,47,mandatory_handoff,mandatory_handoff,dynamic,MIX_AIC,1780830791333300.016	,6.624,16.510000,1,1,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,5.023,9041,0.639,0.127,2.481,0.494,0.471,0.094,1.674,0.333,0.908,0.181,0.058,6.089,10960,0.038,0.006,3.341,0.549,0.512,0.084,0.494,0.081,0.146,3.791
