Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773112698.320	,745.156,0,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,744.582,1340248,0.0,0.0,13.087,0.018,741.282,0.996,2.514,0.003,0.001,0.0,0.004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
0,4294967295,2,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773113513.436	,744.536,70.094000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,744.004,1339208,0.0,0.0,12.897,0.017,741.273,0.996,1.354,0.002,0.001,0.0,0.004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
0,4294967295,4,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773114294.372	,744.616,36.214000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,744.073,1339331,0.0,0.0,12.787,0.017,741.274,0.996,1.377,0.002,0.001,0.0,0.004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
0,4294967295,6,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773115073.168	,744.496,34.384000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,743.926,1339067,0.0,0.0,12.781,0.017,741.274,0.996,1.342,0.002,0.001,0.0,0.004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
0,4294967295,8,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773115850.244	,744.736,32.504000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,744.175,1339515,0.0,0.0,12.984,0.017,741.274,0.996,1.361,0.002,0.001,0.0,0.004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
0,4294967295,10,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773116627.820	,744.596,32.764000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,743.997,1339194,0.0,0.0,12.963,0.017,741.273,0.996,1.375,0.002,0.001,0.0,0.003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
0,4294967295,12,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773117404.056	,744.716,31.654000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,744.105,1339389,0.0,0.0,12.912,0.017,741.274,0.996,1.339,0.002,0.001,0.0,0.003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
0,4294967295,14,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773118181.452	,744.492,32.784000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,743.996,1339192,0.0,0.0,12.832,0.017,741.274,0.996,1.356,0.002,0.001,0.0,0.003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.997
0,4294967295,16,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773118957.608	,744.052,31.508000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,743.558,1338405,0.0,0.0,12.493,0.017,741.273,0.997,1.377,0.002,0.001,0.0,0.003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.997
0,4294967295,18,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773119733.000	,744.296,31.448000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,743.797,1338835,0.0,0.0,12.642,0.017,741.273,0.997,1.301,0.002,0.001,0.0,0.003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.997
0,4294967295,20,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773120509.036	,744.376,31.704000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,743.834,1338901,0.0,0.0,12.693,0.017,741.274,0.997,1.284,0.002,0.001,0.0,0.003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
0,4294967295,22,47,mte_l1_to_l0a,mte_l1_to_l0a,dynamic,AI_CORE,1780830773121284.992	,744.356,31.624000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,743.808,1338855,0.0,0.0,12.648,0.017,741.274,0.997,1.293,0.002,0.001,0.0,0.003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996
