Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710735942.760	,159.884,0,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.367,286861,133.35,0.837,74.156,0.465,0.582,0.004,0.571,0.004,0.0,0.000
0,4294967295,2,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710736174.424	,159.564,71.866000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.03,286254,133.351,0.839,73.863,0.464,0.631,0.004,0.486,0.003,0.0,0.000
0,4294967295,4,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710736378.848	,157.464,44.686000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.901,282421,133.35,0.85,73.208,0.467,0.112,0.001,0.139,0.001,0.0,0.000
0,4294967295,6,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710736577.492	,159.284,41.286000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.718,285692,133.351,0.84,73.843,0.465,0.476,0.003,0.486,0.003,0.0,0.000
0,4294967295,8,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710736776.416	,157.464,39.716000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.901,282421,133.35,0.85,73.266,0.467,0.124,0.001,0.144,0.001,0.0,0.000
0,4294967295,10,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710736973.400	,159.384,39.536000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.804,285848,133.351,0.84,73.777,0.465,0.497,0.003,0.523,0.003,0.0,0.000
0,4294967295,12,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710737174.144	,157.524,41.366000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.958,282524,133.35,0.85,73.207,0.466,0.131,0.001,0.152,0.001,0.0,0.000
0,4294967295,14,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710737364.508	,159.464,32.726000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.853,285936,133.351,0.839,73.78,0.464,0.514,0.003,0.525,0.003,0.0,0.000
0,4294967295,16,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710737556.772	,157.504,32.786000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.924,282463,133.35,0.85,73.21,0.467,0.133,0.001,0.157,0.001,0.0,0.000
0,4294967295,18,47,vector_peak_elemwise_max,vector_peak_elemwise_max,dynamic,AI_CORE,1780830710737746.236	,159.464,31.996000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.992,286186,133.351,0.839,73.939,0.465,0.655,0.004,0.478,0.003,0.0,0.000
